coordinate
0	228	45
1	243	263
2	240	277
3	233	288
4	219	298
5	200	303
6	26	306
7	38	441
8	84	1005
9	145	434
10	172	449
11	176	457
12	182	478
13	208	678
14	178	691
15	161	725
16	169	749
17	191	760
18	355	756
19	344	618
20	379	1002
21	496	1006
22	479	711
23	466	668
24	345	475
25	335	433
26	345	390
27	413	335
28	392	293
29	387	253
30	382	41
31	499	46
32	534	205
33	533	298
34	518	340
35	453	393
36	535	510
37	614	471
38	621	676
39	623	1010
40	838	1007
41	831	819
42	835	671
43	734	674
44	737	480
45	681	477
46	825	483
47	835	484
48	836	270
49	837	194
50	844	32
51	978	27
52	981	263
53	982	340
54	984	495
55	993	673
56	998	824
57	1008	1004
58	1104	1003
59	1087	673
60	1230	672
61	1236	1003
62	1408	1003
63	1403	691
64	1547	692
65	1567	1011
66	1667	1022
67	1854	1071
68	1863	702
69	1687	694
70	1870	345
71	1690	343
72	1576	340
73	1516	342
74	1531	383
75	1530	408
76	1515	433
77	1268	616
78	1248	640
79	1244	672
80	1364	351
81	1307	353
82	1165	348
83	1300	481
84	1290	506
85	1276	522
86	1161	517
87	1881	27
88	1587	27
89	1359	25

edges
0	1
1	2
2	3
3	4
4	5
5	6
6	7
7	8
7	9
9	10
10	11
11	12
12	13
13	14
14	15
15	16
16	17
17	18
18	19
18	20
20	21
21	22
22	23
23	24
24	25
25	26
26	27
27	28
28	29
29	30
30	0
30	31
31	32
32	33
33	34
34	35
35	27
34	37
35	36
36	37
36	38
38	39
21	39
39	40
40	41
41	42
42	43
43	38
43	44
44	45
45	37
45	46
46	47
46	48
48	49
49	32
49	50
50	31
50	51
51	52
52	48
52	53
53	54
54	47
54	55
55	42
55	56
56	41
56	57
57	40
57	58
58	59
59	60
59	55
60	61
61	62
62	63
63	64
64	65
65	66
66	67
67	68
68	69
69	64
68	70
69	71
70	71
71	72
72	73
73	74
74	75
75	76
76	77
77	78
78	79
79	60
79	63
73	80
80	81
81	82
82	53
81	83
83	84
84	85
85	86
86	82
70	87
87	88
88	89
88	72
89	80
89	51
